datebirth,age,gender,maritalstatus,education,educationfield,department,jobrole,joblevel,totalworkingyears,yearsatcompany,yearssincelastpromotion,yearswithcurrmanager,numcompaniesworked,trainingtimeslastyear,performancerating,percentsalaryhike,monthlyincome,monthlyrate,salary,standardhours,overtime,remotework,distancefromhome,businesstravel,attrition,environmentsatisfaction,jobinvolvement,jobsatisfaction,relationshipsatisfaction,worklifebalance
1972,51,M,Unknown,3,Unknown,Other, Research Director ,5,27,20,15,15,7,5,3,13,16280.83,42330.17,195370.0,Full Time,No,Yes,6,non-travel,No,1,3,3,3,3
1971,52,M,Unknown,4,Life Sciences,Other, Manager ,5,34,33,11,9,0,5,3,14,15127.654,43331.17,199990.0,Full Time,Unknown,Yes,1,non-travel,No,3,2,3,1,3
1981,42,M,Married,2,Technical Degree, Research & Development , Manager ,5,22,22,11,15,1,3,3,11,12925.938,41669.33,192320.0,Full Time,No,Yes,4,travel_rarely,No,3,3,4,4,3
1976,47,F,Married,4,Medical,Other, Research Director ,4,23,20,5,6,3,2,3,19,14307.5,37199.5,171690.0,Full Time,Unknown,No,2,travel_rarely,No,1,3,3,2,3
1977,46,F,Divorced,3,Technical Degree,Other, Sales Executive ,4,22,19,2,8,2,5,3,12,12783.92,33238.2,53914.11,Full Time,No,No,3,non-travel,No,1,4,1,4,3
1975,48,F,Unknown,3,Medical, Research & Development , Manager ,4,24,22,4,7,3,3,3,11,14311.67,37210.33,53914.11,Full Time,No,Yes,22,non-travel,No,4,3,4,2,3
1964,59,F,Unknown,3,Life Sciences,Other, Sales Executive ,3,28,21,7,9,7,3,3,11,8339.32,21682.23,100071.84,Part Time,Unknown,Yes,25,non-travel,No,1,3,1,4,2
1981,42,M,Married,1,Unknown,Other, Sales Executive ,2,20,20,11,6,1,3,4,25,8834.134,11681.39,53914.11,Part Time,No,No,1,travel_rarely,No,2,3,3,3,3
1982,41,F,Married,5,Unknown,Other, Manager ,4,22,18,11,8,7,2,3,16,13829.17,35955.83,165950.0,Full Time,No,Yes,2,non-travel,No,2,3,1,2,3
1982,41,M,Unknown,3,Unknown,Other, Research Director ,5,21,18,0,11,2,2,3,17,15943.72,41453.67,53914.11,Full Time,No,No,9,travel_frequently,No,1,3,3,2,4
1982,41,F,Unknown,1,Unknown,Other, Research Director ,5,21,21,5,10,1,3,4,22,16644.17,43274.83,199730.0,Full Time,No,No,7,non-travel,No,2,1,3,2,3
1967,56,M,Married,3,Life Sciences,Other, Manufacturing Director ,4,33,19,15,9,4,0,3,12,13792.891999999998,29037.67,134020.0,Full Time,Yes,No,23,travel_rarely,No,4,3,2,1,3
1985,38,F,Married,3,Medical,Other, Research Director ,3,20,18,1,11,3,3,3,12,6716.932000000001,28613.0,132060.0,Full Time,No,Yes,10,non-travel,No,2,1,3,1,3
1982,41,F,Married,3,Unknown,Other, Research Director ,5,22,22,15,8,1,0,3,12,13887.438,42347.5,195450.0,Full Time,No,No,12,travel_rarely,Yes,2,3,3,4,3
1968,55,M,Single,4,Medical,Other, Research Director ,5,28,24,2,15,8,3,3,11,15943.72,41453.67,53914.11,Full Time,No,Yes,14,non-travel,No,3,4,2,4,3
1983,40,F,Unknown,4,Unknown,Other, Manager ,5,21,20,1,12,0,2,3,14,15034.17,39088.83,180410.0,Full Time,No,No,2,travel_rarely,No,3,3,3,4,3
1965,58,M,Single,4,Unknown,Other, Research Director ,5,40,31,13,8,7,2,3,12,16038.33,41699.67,192460.0,Full Time,Yes,No,2,travel_rarely,Yes,4,3,2,4,3
1977,46,F,Unknown,3,Unknown,Other, Manager ,4,28,26,15,9,8,2,4,23,12783.92,33238.2,53914.11,Full Time,Unknown,No,2,travel_rarely,No,3,3,1,1,3
1988,35,M,Married,5,Life Sciences,Other, Research Scientist ,2,16,16,1,10,1,2,3,11,4492.84,11681.39,53914.11,Full Time,Unknown,No,13,non-travel,No,2,4,1,4,3
1983,40,F,Unknown,3,Life Sciences,Other, Manufacturing Director ,3,18,18,14,12,1,2,3,13,8339.32,21682.23,53914.11,Full Time,Unknown,Yes,15,travel_rarely,No,1,2,3,4,3
1978,45,M,Unknown,1,Unknown, Research & Development , Healthcare Representative ,3,25,23,14,4,3,3,4,23,8956.67,23287.33,107480.0,Full Time,Unknown,No,1,non-travel,No,3,2,3,4,2
1990,33,F,Single,2,Life Sciences,Other, Research Director ,3,15,15,8,12,1,1,3,12,7056.433999999999,21682.23,100071.84,Part Time,Yes,Yes,1,non-travel,No,1,3,4,3,3
1987,36,F,Divorced,3,Unknown,Other, Healthcare Representative ,3,17,17,12,8,1,2,3,13,4717.196,21682.23,100071.84,Full Time,Unknown,Yes,8,non-travel,No,3,3,3,2,3
1976,47,F,Married,2,Other,Other, Manager ,4,25,26,3,0,1,3,3,11,14329.146,36296.0,167520.0,Full Time,Unknown,No,2,non-travel,No,3,3,4,3,2
1987,36,M,Unknown,2,Life Sciences,Other, Sales Executive ,2,18,18,4,11,1,1,3,14,5167.5,13435.5,62010.0,Full Time,Unknown,Yes,42,travel_rarely,No,4,3,4,4,3
1988,35,F,Married,3,Life Sciences,Other, Manufacturing Director ,3,17,17,5,15,1,2,4,20,6477.697999999999,21682.23,100071.84,Part Time,Yes,No,9,non-travel,No,4,2,3,2,3
1971,52,F,Married,1,Unknown,Other, Manager ,5,33,32,6,9,1,3,3,15,14903.194,42997.5,198450.0,Full Time,No,Yes,2,non-travel,Yes,1,1,4,4,3
